node_id,feature_id,value,
1,0,6,1.996
2,0,10,11.961
3,0,15,186.073
4,0,21,192.628
5,0,22,83.288
6,0,24,15.839
7,0,26,405.94
8,0,28,364.216
9,0,29,442.639
10,0,30,1.799
11,0,31,523.798
12,0,32,396.098
13,0,33,276.255
14,0,35,173.076
15,0,36,72.536
16,0,37,129.982
17,0,42,105.636
18,0,43,41.312
19,0,44,224.496
20,0,52,63.669
21,0,54,89.617
22,0,55,1014.636
23,0,56,17.529
24,0,57,121.697
25,0,63,94.921
26,0,65,199.414
27,0,66,9.027
28,0,69,217.024
29,0,70,42.586
30,0,71,70.407
31,0,80,170.801
32,0,82,796.548
33,0,83,395.244
34,0,84,181.202
35,0,85,80.662
36,1,0,1
37,1,8,31.994
38,1,32,27.555
39,1,63,94.921
40,1,72,59.738
41,2,0,2
42,2,59,14.955
43,2,80,12.972
44,2,88,3.742
45,2,90,4.537
46,3,0,3
47,3,16,34.734
48,3,39,168.78
49,4,0,4
50,4,1,157.408
51,4,2,368.315
52,4,4,1237.49
53,4,5,68.297
54,4,6,81.836
55,4,7,790.939
56,4,8,173.683
57,4,9,363.859
58,4,10,131.572
59,4,11,159.953
60,4,12,164.135
61,4,13,310.625
62,4,14,180.409
63,4,15,315.515
64,4,16,25.261
65,4,17,242.684
66,4,18,170.879
67,4,19,199.221
68,4,20,41.795
69,4,22,382.145
70,4,24,124.735
71,4,25,857.459
72,4,26,291.912
73,4,27,39.912
74,4,28,323.399
75,4,29,81.405
76,4,30,106.141
77,4,31,217.863
78,4,32,89.553
79,4,33,853.878
80,4,35,403.844
81,4,37,649.912
82,4,39,63.292
83,4,41,29.026
84,4,42,52.818
85,4,44,523.825
86,4,46,110.484
87,4,47,98.474
88,4,48,289.352
89,4,49,17.548
90,4,50,64.833
91,4,53,853.271
92,4,54,405.912
93,4,55,350.856
94,4,57,230.584
95,4,58,160.544
96,4,59,186.935
97,4,60,33.278
98,4,61,354.805
99,4,62,682.03
100,4,64,409.88
101,4,65,398.828
102,4,66,559.658
103,4,67,229.536
104,4,68,456.528
105,4,69,364.04
106,4,70,553.617
107,4,71,220.023
108,4,72,108.275
109,4,73,498.795
110,4,74,514.021
111,4,75,238.84
112,4,76,22.269
113,4,77,384.564
114,4,78,258.739
115,4,79,302.433
116,4,80,131.884
117,4,81,618.768
118,4,82,113.793
119,4,83,502.794
120,4,84,422.804
121,4,87,30.367
122,4,88,56.134
123,4,89,38.735
124,4,90,31.756
125,5,0,5
126,5,1,15690.736
127,5,2,16603.623
128,5,3,14059.123
129,5,4,19592.267
130,5,5,18704.753
131,5,6,12029.856
132,5,7,15924.239
133,5,8,13547.237
134,5,9,15693.409
135,5,10,16856.125
136,5,11,16949.808
137,5,12,15905.704
138,5,13,14173.241
139,5,14,16222.379
140,5,15,17733.552
141,5,16,16252.127
142,5,17,19074.943
143,5,18,17655.651
144,5,19,16632.172
145,5,20,12082.309
146,5,21,13048.361
147,5,22,16152.976
148,5,23,13123.112
149,5,24,14527.689
150,5,25,16575.899
151,5,26,16748.463
152,5,27,18303.046
153,5,28,17573.44
154,5,29,16545.535
155,5,30,13422.348
156,5,31,18291.213
157,5,32,12079.275
158,5,33,17738.897
159,5,34,12430.042
160,5,35,15548.002
161,5,36,10969.128
162,5,37,10438.591
163,5,38,11682.636
164,5,39,11856.79
165,5,40,11267.824
166,5,41,10101.157
167,5,42,13715.03
168,5,43,13219.863
169,5,44,8717.939
170,5,45,12373.733
171,5,46,12236.048
172,5,47,11709.466
173,5,48,8825.231
174,5,49,9195.16
175,5,50,12026.517
176,5,51,11901.278
177,5,52,13968.961
178,5,53,12408.919
179,5,54,13990.769
180,5,55,14716.969
181,5,56,14531.622
182,5,57,13706.922
183,5,58,12818.811
184,5,59,10595.502
185,5,60,11454.167
186,5,61,11468.847
187,5,62,13247.907
188,5,63,11532.876
189,5,64,16740.373
190,5,65,12401.658
191,5,66,12520.084
192,5,67,10388.988
193,5,68,18460.338
194,5,69,15268.672
195,5,70,16450.34
196,5,71,14811.946
197,5,72,17943.716
198,5,73,17700.599
199,5,74,16453.709
200,5,75,10833.791
201,5,76,17302.939
202,5,77,13804.108
203,5,78,10840.854
204,5,79,13750.61
205,5,80,12573.32
206,5,81,11502.563
207,5,82,9666.05
208,5,83,7606.434
209,5,84,11596.917
210,5,85,2640.339
211,5,86,6056.574
212,5,87,7090.637
213,5,88,6833.321
214,5,89,6362.241
215,5,90,7040.784
216,6,0,6
217,6,6,52.894
218,6,8,237.671
219,6,11,232.189
220,6,20,264.703
221,6,24,43.558
222,6,29,218.776
223,6,45,31.129
224,6,47,205.9
225,6,57,96.077
226,6,58,172.893
227,6,62,220.454
228,6,63,322.731
229,6,67,254.485
230,6,68,240.715
231,6,69,119.013
232,6,71,167.217
233,6,80,64.861
234,6,87,30.367
235,6,88,18.711
236,6,89,9.684
237,7,0,7
238,7,1,3269.798
239,7,2,2754.993
240,7,3,2731.724
241,7,4,2770.382
242,7,5,2706.256
243,7,6,1992.002
244,7,7,2298.996
245,7,8,1709.402
246,7,9,2040.776
247,7,10,1994.507
248,7,11,2615.998
249,7,12,2220.951
250,7,13,1103.115
251,7,14,2081.92
252,7,15,881.824
253,7,16,2106.114
254,7,17,2556.269
255,7,18,2182.84
256,7,19,1903.666
257,7,20,3789.436
258,7,21,2294.025
259,7,22,1190.529
260,7,23,1911.101
261,7,24,1999.723
262,7,25,2704.669
263,7,26,1532.539
264,7,27,2037.737
265,7,28,2015.749
266,7,29,1450.024
267,7,30,2381.878
268,7,31,2340.867
269,7,32,1208.961
270,7,33,1481.73
271,7,35,711.535
272,7,36,2506.538
273,7,37,1099.852
274,7,39,3249.014
275,7,40,2458.786
276,7,41,1233.618
277,7,42,1883.836
278,7,43,2354.788
279,7,44,1908.218
280,7,45,2661.52
281,7,46,2292.533
282,7,47,2712.514
283,7,48,2242.477
284,7,49,1754.802
285,7,50,2431.237
286,7,51,1765.681
287,7,52,2521.289
288,7,53,1515.679
289,7,54,806.552
290,7,55,1204.288
291,7,56,1779.203
292,7,57,1485.984
293,7,58,2031.497
294,7,59,1921.696
295,7,60,2029.937
296,7,61,2435.692
297,7,62,2390.548
298,7,63,1831.971
299,7,64,1596.376
300,7,65,1167.997
301,7,66,2644.834
302,7,67,2589.762
303,7,68,1925.719
304,7,69,2254.247
305,7,70,1606.098
306,7,71,2279.438
307,7,72,948.336
308,7,73,1756.818
309,7,74,2131.675
310,7,75,1958.49
311,7,76,3488.795
312,7,77,2077.791
313,7,78,1644.142
314,7,79,2153.321
315,7,80,2097.175
316,7,81,879.301
317,7,82,2364.358
318,7,83,1000.21
319,7,84,2914.329
320,7,85,661.429
321,7,86,5682.369
322,7,87,5329.365
323,7,88,5819.175
324,7,89,6081.412
325,7,90,6696.003
326,8,0,8
327,8,6,39.92
328,8,8,137.118
329,8,10,35.883
330,8,14,18.041
331,8,15,169.893
332,8,23,13.226
333,8,30,5.397
334,8,44,411.577
335,8,48,217.014
336,8,61,86.304
337,8,64,57.527
338,8,65,180.422
339,8,75,19.107
340,8,86,13.859
341,8,87,45.55
342,8,89,9.684
343,8,90,22.683
344,9,0,9
345,9,66,361.069
346,10,0,10
347,10,2,780.827
348,10,3,207.808
349,10,5,281.724
350,10,6,79.84
351,10,7,221.463
352,10,8,777.001
353,10,9,826.593
354,10,10,110.64
355,10,11,268.307
356,10,13,653.108
357,10,14,382.467
358,10,15,444.957
359,10,17,512.332
360,10,18,270.099
361,10,19,868.824
362,10,22,534.023
363,10,24,245.511
364,10,26,314.718
365,10,28,684.476
366,10,29,783.522
367,10,30,172.704
368,10,32,406.431
369,10,37,169.977
370,10,39,105.487
371,10,40,154.884
372,10,41,72.566
373,10,42,228.877
374,10,43,578.369
375,10,44,299.328
376,10,47,134.283
377,10,48,313.465
378,10,50,2301.571
379,10,54,558.787
380,10,56,850.161
381,10,57,275.419
382,10,59,418.735
383,10,60,79.866
384,10,62,702.697
385,10,63,1518.733
386,10,64,711.897
387,10,65,303.869
388,10,66,613.818
389,10,67,239.516
390,10,68,406.725
391,10,69,287.031
392,10,70,304.185
393,10,72,533.906
394,10,73,675.36
395,10,74,151.183
396,10,75,286.608
397,10,77,1119.252
398,10,79,326.627
399,10,80,192.421
400,10,82,872.41
401,10,86,69.297
402,10,87,121.467
403,10,88,82.329
404,10,89,67.786
405,10,90,49.902
406,11,0,11
407,11,6,17.964
408,11,7,284.738
409,11,9,15.82
410,11,10,35.883
411,11,13,159.295
412,11,15,210.343
413,11,17,91.681
414,11,18,44.098
415,11,21,96.314
416,11,22,93.087
417,11,23,72.741
418,11,29,534.219
419,11,36,709.246
420,11,42,369.725
421,11,48,168.789
422,11,54,210.863
423,11,59,14.955
424,11,61,402.752
425,11,63,66.445
426,11,64,71.909
427,11,65,170.926
428,11,66,135.401
429,11,72,70.939
430,11,73,52.969
431,11,86,13.859
432,11,88,7.484
433,11,89,9.684
434,11,90,9.073
435,12,0,12
436,12,3,370.275
437,12,6,263.471
438,12,9,138.425
439,12,10,131.572
440,12,14,245.356
441,12,16,72.625
442,12,17,107.859
443,12,18,104.732
444,12,19,260.094
445,12,21,262.675
446,12,24,160.374
447,12,27,146.345
448,12,28,376.776
449,12,30,154.714
450,12,32,854.195
451,12,36,1144.464
452,12,39,485.242
453,12,40,1161.631
454,12,41,377.342
455,12,42,70.424
456,12,43,247.872
457,12,44,224.496
458,12,45,155.644
459,12,46,138.104
460,12,47,331.231
461,12,48,1012.731
462,12,50,777.996
463,12,53,415.408
464,12,55,303.443
465,12,60,106.488
466,12,63,218.318
467,12,66,343.016
468,12,67,69.859
469,12,69,336.037
470,12,70,438.027
471,12,71,123.213
472,12,72,328.557
473,12,74,125.986
474,12,75,305.715
475,12,76,148.459
476,12,79,169.362
477,12,80,82.157
478,12,86,554.378
479,12,87,470.685
480,12,88,740.963
481,12,89,861.856
482,12,90,861.952
483,13,0,13
484,13,4,423.142
485,13,24,3.96
486,13,51,19.51
487,13,86,27.719
488,13,88,3.742
489,14,0,14
490,14,5,85.371
491,14,10,20.932
492,14,23,66.128
493,14,30,17.99
494,14,45,186.773
495,14,57,12.81
496,14,82,240.229
497,14,88,3.742
498,15,0,15
499,15,1,1624.166
500,15,2,1222.805
501,15,3,623.423
502,15,4,894.187
503,15,5,998.839
504,15,6,590.814
505,15,7,2161.9
506,15,8,1215.778
507,15,9,1332.832
508,15,10,589.082
509,15,11,397.301
510,15,12,348.787
511,15,13,569.478
512,15,14,1609.248
513,15,15,1286.33
514,15,16,1070.424
515,15,17,2087.08
516,15,18,1554.447
517,15,19,1610.368
518,15,20,1246.891
519,15,21,1361.53
520,15,22,720.196
521,15,23,1021.678
522,15,24,716.732
523,15,25,563.473
524,15,26,2855.266
525,15,27,909.11
526,15,28,740.992
527,15,29,1801.082
528,15,30,787.963
529,15,31,2150.817
530,15,32,1102.186
531,15,35,1019.226
532,15,36,274.027
533,15,37,209.972
534,15,38,1323.752
535,15,39,421.95
536,15,40,696.979
537,15,41,986.895
538,15,42,70.424
539,15,43,1363.298
540,15,44,636.073
541,15,45,217.902
542,15,46,441.934
543,15,47,492.37
544,15,48,1422.647
545,15,49,526.44
546,15,50,356.581
547,15,51,907.229
548,15,52,1528.054
549,15,53,1599.883
550,15,54,637.861
551,15,55,1659.452
552,15,56,972.865
553,15,57,1069.652
554,15,58,876.817
555,15,59,1435.664
556,15,60,965.052
557,15,61,460.288
558,15,62,578.692
559,15,63,797.335
560,15,64,884.478
561,15,65,1205.981
562,15,66,2780.235
563,15,67,963.052
564,15,68,572.735
565,15,69,833.091
566,15,70,790.882
567,15,71,1443.351
568,15,72,1855.603
569,15,73,1827.443
570,15,74,1143.949
571,15,75,802.503
572,15,76,141.036
573,15,77,1802.283
574,15,78,812.245
575,15,79,564.541
576,15,80,592.398
577,15,81,527.581
578,15,82,2585.621
579,15,83,540.436
580,15,84,1494.915
581,15,85,500.105
582,15,86,2688.731
583,15,87,2080.123
584,15,88,1534.316
585,15,89,2023.909
586,15,90,2023.318
587,16,0,16
588,16,1,228.957
589,16,2,331.483
590,16,7,189.825
591,16,8,338.224
592,16,11,159.953
593,16,12,143.618
594,16,13,111.506
595,16,14,50.515
596,16,16,113.673
597,16,17,21.572
598,16,18,121.269
599,16,19,437.179
600,16,20,487.611
601,16,21,30.645
602,16,23,171.933
603,16,25,78.396
604,16,28,562.024
605,16,29,549.483
606,16,30,21.588
607,16,34,2210.816
608,16,35,980.765
609,16,36,2039.081
610,16,38,441.251
611,16,40,484.013
612,16,43,247.872
613,16,44,149.664
614,16,45,93.387
615,16,48,434.028
616,16,49,175.48
617,16,50,243.124
618,16,51,156.082
619,16,52,76.403
620,16,53,247
621,16,54,853.996
622,16,55,37.93
623,16,58,37.049
624,16,60,46.589
625,16,61,431.52
626,16,62,213.565
627,16,63,170.857
628,16,64,309.208
629,16,65,588.746
630,16,66,306.909
631,16,67,349.294
632,16,68,439.927
633,16,69,56.006
634,16,71,202.421
635,16,72,235.217
636,16,73,61.798
637,16,74,251.971
638,16,77,327.166
639,16,80,34.593
640,16,81,1393.855
641,16,83,268.874
642,16,84,226.502
643,16,85,102.172
644,16,86,13.859
645,16,87,15.183
646,17,0,17
647,17,1,50.084
648,17,3,75.566
649,17,6,11.976
650,17,7,110.731
651,17,8,178.253
652,17,9,98.875
653,17,10,35.883
654,17,11,56.757
655,17,12,230.815
656,17,13,290.713
657,17,14,115.462
658,17,15,234.614
659,17,16,129.461
660,17,17,32.358
661,17,18,132.293
662,17,19,254.56
663,17,20,480.645
664,17,22,68.59
665,17,23,363.704
666,17,24,63.358
667,17,28,178.968
668,17,30,23.387
669,17,31,282.758
670,17,32,96.441
671,17,35,86.538
672,17,40,232.326
673,17,41,217.697
674,17,42,140.848
675,17,51,136.572
676,17,52,140.072
677,17,53,16.841
678,17,54,179.234
679,17,55,388.786
680,17,56,192.82
681,17,57,44.836
682,17,59,164.503
683,17,60,13.311
684,17,62,316.903
685,17,63,104.413
686,17,64,93.481
687,17,65,313.365
688,17,66,36.107
689,17,67,344.304
690,17,69,147.016
691,17,70,18.251
692,17,72,33.602
693,17,73,326.644
694,17,74,85.67
695,17,76,222.689
696,17,78,98.255
697,17,80,28.106
698,17,84,483.205
699,17,86,138.594
700,17,87,182.201
701,17,88,74.845
702,17,89,58.103
703,17,90,99.805
704,18,0,18
705,18,15,16.18
706,18,65,56.975
707,18,88,3.742
708,19,0,19
709,19,1,3584.614
710,19,2,1679.515
711,19,3,3226.684
712,19,4,1309.345
713,19,5,3150.184
714,19,6,3455.066
715,19,7,1993.166
716,19,8,2340.144
717,19,9,3670.233
718,19,10,3331.155
719,19,11,3947.216
720,19,12,897.613
721,19,13,2620.397
722,19,14,2983.965
723,19,15,3276.5
724,19,16,4256.434
725,19,17,2486.16
726,19,18,3378.993
727,19,19,3978.883
728,19,20,5161.713
729,19,21,2127.664
730,19,22,3405.01
731,19,23,2324.401
732,19,24,3540.103
733,19,25,2038.301
734,19,26,3740.125
735,19,27,3949.085
736,19,28,1274.757
737,19,29,3490.233
738,19,30,3159.946
739,19,31,2809.041
740,19,32,2421.366
741,19,34,3115.241
742,19,35,4403.825
743,19,36,2683.85
744,19,37,3359.546
745,19,38,4874.769
746,19,39,5928.395
747,19,40,4995.015
748,19,41,4615.184
749,19,42,5827.567
750,19,43,4255.143
751,19,44,3928.685
752,19,45,3782.16
753,19,46,4005.027
754,19,47,2891.558
755,19,48,3713.349
756,19,49,5246.857
757,19,50,3938.603
758,19,51,3092.381
759,19,52,3858.337
760,19,53,3289.584
761,19,54,6220.463
762,19,55,3793.033
763,19,56,4364.745
764,19,57,3881.493
765,19,58,4600.199
766,19,59,3678.89
767,19,60,5683.822
768,19,61,4152.183
769,19,62,2624.78
770,19,63,4053.118
