exo_circ_ID	CircRNA	WhB1	WhB2	WhB3	WhB4	WhB5
exo_circ_000001	chr1:117402185-117414831:+	1871.024	1943.472	2028.291	1810.866	2000.635
exo_circ_000002	chr1:155853275-155853806:-	194.032	288.484	217.05	145.257	149.707
exo_circ_000003	chr1:24514313-24514567:+	263.329	288.484	187.112	309.881	299.415
exo_circ_000004	chr3:170136418-170149244:-	1607.695	1138.753	1021.63	755.335	1156.83
exo_circ_000005	chr3:170145422-170149244:-	1787.867	1199.487	1362.173	735.967	1138.683
exo_circ_000006	chr4:143543508-143543972:+	6056.574	7090.637	6833.321	6362.241	7040.784
exo_circ_000007	chr5:73074741-73077493:+	2716.45	1989.022	2617.693	1588.139	2365.83
exo_circ_000008	chr6:4891712-4892379:+	5044.835	3446.627	1736.397	2217.585	2413.465
exo_circ_000009	chr7:100023418-100024307:+	263.329	167.017	142.205	87.154	167.854
exo_circ_000010	chr7:158759485-158764853:-	277.189	698.435	153.432	426.086	376.537
exo_circ_000011	chr8:47396375-47407961:+	138.594	242.934	235.761	348.616	281.268
exo_circ_000012	chr12:108652271-108654410:-	1912.602	1791.639	1627.872	1723.712	1605.952
exo_circ_000013	chr13:32517856-32527532:-	4116.253	3507.36	5224.16	4638.529	4931.271
exo_circ_000014	chr14:22909482-22911403:-	3464.859	3795.844	3745.977	3834.775	3216.441
exo_circ_000015	chr14:39179090-39179462:+	1164.193	1108.387	1530.574	1830.234	1347.367
exo_circ_000016	chr16:85633913-85634132:+	4157.831	5344.549	2166.754	1607.507	2463.367
exo_circ_000017	chr21:15014343-15043574:-	568.237	880.636	624.953	803.753	725.854
exo_circ_000018	chr1:117402185-117405645:+	1857.165	1563.888	1163.835	1065.215	1156.83
exo_circ_000019	chr1:117402185-117420649:+	3658.892	3598.46	2555.946	2246.636	3547.611
exo_circ_000020	chr2:40428472-40430304:-	166.313	242.934	112.267	116.205	68.049
exo_circ_000021	chr3:71041327-71053773:-	97.016	167.017	41.165	67.786	63.512
exo_circ_000022	chr4:128992166-129003876:-	1094.896	1290.587	2166.754	1316.994	2095.903
exo_circ_000023	chr4:87046165-87047594:+	1219.631	1366.504	939.301	968.378	1038.879
exo_circ_000024	chr5:137985256-137988315:-	3894.502	4099.512	4767.607	3844.459	4473.075
exo_circ_000025	chr5:154033790-154034967:-	304.908	227.751	426.615	145.257	172.39
exo_circ_000026	chr5:95755395-95763620:+	1316.647	1442.421	1234.938	1210.472	1551.513
exo_circ_000027	chr11:33286412-33287511:+	526.659	622.518	265.699	309.881	376.537
exo_circ_000028	chr14:99458278-99465813:-	859.285	683.252	475.264	532.608	644.195
exo_circ_000029	chr15:41668827-41669958:+	291.048	409.951	228.276	183.992	267.659
exo_circ_000030	chr15:89113724-89116521:+	928.582	1153.937	1021.63	522.924	716.781
exo_circ_000031	chr16:30483826-30484263:+	83.157	212.567	130.978	222.727	199.61
exo_circ_000032	chr17:29684562-29703062:-	110.876	151.834	67.36	116.205	81.659
exo_circ_000033	chr17:59353214-59353526:+	110.876	258.117	112.267	87.154	49.902
exo_circ_000034	chr20:2964271-2965202:+	2203.651	1943.472	1822.468	1442.883	1674.001
exo_circ_000035	chr20:58438944-58441083:+	2272.948	1852.372	2267.794	2324.106	2241.074
exo_circ_000036	chr21:34834409-34859578:-	124.735	91.1	112.267	96.838	81.659
exo_circ_000037	chr1:117402185-117442325:+	997.88	1639.805	832.647	1588.139	954.952
exo_circ_000038	chr1:1223243-1223968:-	318.767	227.751	187.112	203.359	163.317
exo_circ_000039	chr1:26729650-26732792:+	27.719	15.183	63.618	67.786	54.439
exo_circ_000040	chr1:41070594-41075451:-	277.189	440.318	228.276	242.094	240.439
exo_circ_000041	chr1:66958058-66963160:+	194.032	91.1	160.916	145.257	136.098
exo_circ_000042	chr2:147896300-147899898:+	374.205	212.567	205.823	377.667	149.707
exo_circ_000043	chr2:61522610-61533903:-	5682.369	5329.365	5819.175	6081.412	6696.003
exo_circ_000044	chr3:152414940-152432920:+	83.157	75.917	89.814	29.051	77.122
exo_circ_000045	chr3:158122102-158123991:+	623.675	470.685	520.171	319.565	390.147
exo_circ_000046	chr4:87195323-87195690:-	498.94	576.968	677.345	493.873	689.561
exo_circ_000047	chr8:37877108-37877551:-	180.173	121.467	82.329	145.257	181.464
exo_circ_000048	chr10:5794884-5800705:-	249.47	273.301	295.637	125.889	181.464
exo_circ_000049	chr12:46229152-46243314:-	207.892	151.834	112.267	213.043	99.805
exo_circ_000050	chr12:69800208-69801721:+	1233.49	1503.154	1474.441	939.326	1265.708
exo_circ_000051	chr14:96833466-96860735:+	1663.133	926.186	924.332	1103.95	1315.61
exo_circ_000052	chr15:64499292-64500166:+	443.502	364.401	250.73	348.616	258.585
exo_circ_000053	chr17:20204332-20205912:+	2688.731	2080.123	1534.316	2023.909	2023.318
exo_circ_000054	chr18:9182381-9221999:+	568.237	501.051	587.531	745.651	721.317
exo_circ_000055	chr19:12928341-12928847:-	277.189	288.484	101.04	154.94	131.561
exo_circ_000056	chr19:47264602-47264946:+	152.454	303.668	116.009	271.146	145.171
exo_circ_000057	chr22:21805849-21807846:-	1191.912	516.235	1354.689	643.971	1038.879
exo_circ_000058	chr1:77711746-77715868:-	194.032	151.834	250.73	261.462	362.927
exo_circ_000059	chr2:63856305-63857936:+	318.767	364.401	318.09	338.932	376.537
exo_circ_000060	chr2:72718102-72733118:-	110.876	258.117	44.907	67.786	122.488
exo_circ_000061	chr3:125313307-125331238:-	13.859	75.917	37.422	67.786	36.293
exo_circ_000062	chr3:172247532-172251541:+	498.94	425.135	333.059	251.778	272.195
exo_circ_000063	chr6:130955104-130956499:-	13.859	0	33.68	0	13.61
exo_circ_000064	chr7:100812746-100813208:-	55.438	60.734	18.711	58.103	31.756
exo_circ_000065	chr7:102227366-102227669:+	249.47	197.384	112.267	106.522	213.22
exo_circ_000066	chr7:155672866-155680908:+	3132.233	3203.693	2473.617	3021.338	3379.758
exo_circ_000067	chr7:77585542-77600806:+	55.438	182.201	78.587	125.889	86.195
exo_circ_000068	chr10:104008176-104018908:+	498.94	409.951	415.388	406.719	385.61
exo_circ_000069	chr11:108227594-108229323:+	332.627	288.484	321.832	280.83	394.683
exo_circ_000070	chr16:68121986-68123121:+	415.783	394.768	209.565	164.624	172.39
exo_circ_000071	chr16:69370482-69372355:-	1912.602	1351.321	1758.85	1868.969	2136.733
exo_circ_000072	chr17:67945408-67948306:+	194.032	258.117	258.214	367.983	294.878
exo_circ_000073	chr22:32478980-32479275:+	97.016	106.284	67.36	67.786	104.342
exo_circ_000074	chr1:33294936-33295305:+	13.859	121.467	29.938	48.419	72.585
exo_circ_000075	chr3:107710451-107716849:+	69.297	106.284	56.134	67.786	77.122
exo_circ_000076	chr4:128936654-128970468:-	180.173	349.218	202.081	300.197	281.268
