exo_circ_ID	CircRNA	HCC1	HCC2	HCC3	HCC4	HCC5	HCC6	HCC7	HCC8	HCC9	HCC10	HCC11	HCC12	HCC13	HCC14	HCC15	HCC16	HCC17	HCC18	HCC19	HCC20	HCC21
exo_circ_000001	chr1:117402185-117414831:+	3433.811	5494.628	5860.625	6088.673	5461.968	7020.404	6469.155	5785.754	4621.044	6855.196	6827.608	2921.015	4727.055	5479.452	5792.505	5614.631	5054.777	5079.913	5901.646	5311.075	7119.943
exo_circ_000002	chr1:155853275-155853806:-	1882.743	1515.32	1818.815	2134.989	2304.268	2208.666	1261.805	759.496	1009.451	1384.35	1601.419	1756.743	920.732	848.524	1576.321	2590.674	1581.801	1286.579	1239.136	1447.922	2569.868
exo_circ_000003	chr1:24514313-24514567:+	2555.848	2234.779	1442.702	1296.808	2342.198	1998.317	3305.033	3284.975	3050.787	2429.268	3241.196	2362.991	1461.78	2358.609	1519.346	1543.572	1681.599	2058.527	3213.352	3212.197	1707.378
exo_circ_000004	chr3:170136418-170149244:-	1872.988	1222.443	2189.314	1765.979	1308.596	981.63	1114.488	580.428	1218.819	991.674	1611.009	1329.613	825.811	1402.222	512.779	1083.208	1222.527	1145.471	791.087	869.97	519.254
exo_circ_000005	chr3:170145422-170149244:-	1043.801	630.322	488.385	991.057	872.398	1323.447	794.233	765.671	1054.316	465.887	306.859	1026.489	768.858	985.151	1016.062	1056.128	1102.77	1817.812	1015.111	1046.397	554.458
exo_circ_000006	chr4:143543508-143543972:+	11901.278	13968.961	12408.919	13990.769	14716.969	14531.622	13706.922	12818.811	10595.502	11454.167	11468.847	13247.907	11532.876	16740.373	12401.658	12520.084	10388.988	18460.338	15268.672	16450.34	14811.946
exo_circ_000007	chr5:73074741-73077493:+	3267.974	1680.86	1903.019	2087.545	1706.865	955.336	1223.375	679.224	1233.774	945.085	1419.222	2142.537	977.684	2473.663	1908.678	875.594	1536.892	2739.169	1764.193	1514.843	1073.712
exo_circ_000008	chr6:4891712-4892379:+	3443.566	2648.627	5394.694	3842.981	3783.551	3348.058	2754.195	2525.479	3417.18	2742.078	2943.926	6138.266	4081.594	5148.671	5156.279	3719.016	2499.944	2456.951	3241.355	2476.068	4048.423
exo_circ_000009	chr7:100023418-100024307:+	2136.377	1279.745	1678.474	2187.705	2588.745	920.278	755.802	827.418	957.11	1131.44	3222.017	3678.826	1689.59	2545.572	1775.735	1688	1561.841	1427.688	1050.115	1301.913	1909.799
exo_circ_000010	chr7:158759485-158764853:-	4009.365	2935.137	1908.633	2461.827	1488.766	2068.434	1383.502	1522.079	1540.348	1617.294	2320.619	4605.422	1423.812	2595.908	2421.457	3069.091	1621.72	3033.837	2478.271	2080.627	1645.772
