exo_circ_ID	CircRNA	PAAD1	PAAD2	PAAD3	PAAD4	PAAD5	PAAD6	PAAD7	PAAD8	PAAD9	PAAD10	PAAD11	PAAD12	PAAD13	PAAD14
exo_circ_000001	chr1:117402185-117414831:+	4047.23	4056.571	3834.999	5684.397	3622.408	3547.168	5305.796	6189.791	4785.667	6334.226	2945.964	2616.14	4016.64	1586.354
exo_circ_000002	chr1:155853275-155853806:-	1116.349	1403.688	1577.339	620.984	1172.829	1188.129	1133.213	1875.083	1191.282	1774.886	1062.064	973.322	1464.715	336.092
exo_circ_000003	chr1:24514313-24514567:+	2960.75	2507.217	4217.995	3687.693	1818.627	1882.639	2498.964	2193.646	2594.443	2569.514	708.043	2462.882	1253.313	1777.254
exo_circ_000004	chr3:170136418-170149244:-	511.504	878.409	1310.249	1385.273	1313.865	694.51	1441.08	1435.548	700.5	937.921	562.641	1204.554	815.408	228.543
exo_circ_000005	chr3:170145422-170149244:-	739.254	520.866	1219.54	162.411	460.224	361.604	1116.837	1149.245	758.875	1175.658	1226.431	204.344	211.402	190.9
exo_circ_000006	chr4:143543508-143543972:+	17943.716	17700.599	16453.709	10833.791	17302.939	13804.108	10840.854	13750.61	12573.32	11502.563	9666.05	7606.434	11596.917	2640.339
exo_circ_000007	chr5:73074741-73077493:+	929.668	1721.505	1441.274	878.932	1224.79	2376.258	356.995	887.136	592.398	2217.793	2775.275	263.496	1947.92	325.337
exo_circ_000008	chr6:4891712-4892379:+	4162.972	4224.308	2691.051	2254.651	2449.579	3535.688	2243.5	2092.835	2484.179	9994.724	5999.399	3285.635	4726.347	2032.684
exo_circ_000009	chr7:100023418-100024307:+	2120.689	1235.952	1567.26	1413.934	497.339	1297.184	903.95	1040.369	592.398	3820.075	815.514	3199.596	2551.926	736.714
exo_circ_000010	chr7:158759485-158764853:-	3352.779	5054.161	1411.038	468.127	1536.554	1165.17	2656.173	802.455	985.888	1752.089	1542.522	817.376	2642.527	680.25
exo_circ_000011	chr8:47396375-47407961:+	556.307	2652.883	1582.378	1070.004	1195.098	2491.053	2508.79	1689.591	1426.944	1442.705	2111.485	483.972	2733.127	285.006
exo_circ_000012	chr12:108652271-108654410:-	5533.206	4736.345	6258.961	9333.875	5248.038	4006.348	7044.917	8435.858	9804.833	2670.47	1574.131	400.622	981.51	328.026
exo_circ_000013	chr13:32517856-32527532:-	6489.009	4683.376	5724.782	2961.618	4186.554	4913.229	4863.646	4032.437	4030.035	4744.97	2560.334	3151.198	5481.355	1758.433
exo_circ_000014	chr14:22909482-22911403:-	5927.101	3725.513	3371.373	4891.447	3169.607	5538.862	2996.792	3036.425	3392.234	14996.971	10785.011	8163.002	5134.052	3850.27
exo_circ_000015	chr14:39179090-39179462:+	1381.435	1774.474	1839.389	898.039	2390.196	941.32	1454.181	1725.883	1145.879	2230.82	885.054	1161.534	1827.118	586.144
exo_circ_000016	chr16:85633913-85634132:+	8038.456	12558.156	11026.253	20645.346	17013.443	8167.67	19392.355	16928.17	16736.32	8994.926	14160.859	4826.281	8456.085	3094.735
exo_circ_000017	chr21:15014343-15043574:-	6698.091	15052.131	9048.28	16116.936	8825.909	3771.018	7329.858	19484.735	21806.295	9157.76	1137.926	2301.558	4258.243	1204.554
exo_circ_000018	chr1:117402185-117405645:+	1538.246	2661.711	2980.817	1213.308	3043.417	2020.393	1267.496	2580.76	1535.046	2061.473	2901.712	1254.295	1404.314	400.622
exo_circ_000019	chr1:117402185-117420649:+	8964.391	12845.073	8962.61	9181.017	8766.525	10532.448	8996.926	5629.282	9149.736	6565.449	12365.464	8851.318	13892.14	3027.517
exo_circ_000020	chr2:40428472-40430304:-	1881.738	988.762	1405.998	324.823	697.759	1796.543	415.948	56.454	291.875	3640.959	5452.563	1556.778	1736.517	440.953
exo_circ_000021	chr3:71041327-71053773:-	589.91	1553.768	645.046	219.733	244.958	723.209	157.209	40.324	330.791	491.757	796.548	1236.818	875.809	389.867
exo_circ_000022	chr4:128992166-129003876:-	911	1090.286	1043.16	745.181	1454.902	436.221	478.177	290.335	1485.319	1309.182	1175.857	588.833	1283.513	424.82
exo_circ_000023	chr4:87046165-87047594:+	582.443	264.847	539.218	773.842	764.566	1377.541	648.486	524.217	510.24	1312.439	992.524	1099.693	1404.314	349.536
exo_circ_000024	chr5:137985256-137988315:-	7739.768	6440.193	5966.674	6725.74	9390.055	5866.028	5420.427	7068.862	6701.23	4272.753	6846.522	3839.515	7293.373	1325.547
exo_circ_000025	chr5:154033790-154034967:-	126.943	741.571	297.326	1366.166	267.227	1411.979	638.661	1915.408	233.5	781.601	562.641	591.522	392.604	285.006
exo_circ_000026	chr5:95755395-95763620:+	759.789	1955.453	2061.123	2522.152	2056.162	2760.822	3101.598	3278.371	2840.915	1732.549	1283.328	578.078	1268.413	365.668
exo_circ_000027	chr11:33286412-33287511:+	2497.783	2171.744	3245.387	2655.903	3778.291	3443.852	4598.356	3653.388	3731.674	3106.864	6309.168	1196.487	1736.517	537.747
exo_circ_000028	chr14:99458278-99465813:-	1164.885	3855.729	1017.963	1022.236	1788.935	3449.592	792.594	633.093	1164.256	5962.965	1346.546	1801.453	1781.818	691.005
exo_circ_000029	chr15:41668827-41669958:+	1008.074	1041.731	609.77	143.304	1232.213	1475.117	799.145	1104.888	583.75	2475.07	214.942	1777.254	890.909	223.165
exo_circ_000030	chr15:89113724-89116521:+	1437.439	538.522	952.451	535.002	304.342	1612.871	655.036	1207.715	793.467	563.404	0	1185.732	996.61	94.106
exo_circ_000031	chr16:30483826-30484263:+	2255.099	2405.692	1264.895	401.252	972.409	2427.916	871.199	1818.629	307.009	1442.705	853.445	2532.789	3427.734	935.68
exo_circ_000032	chr17:29684562-29703062:-	253.885	542.936	952.451	544.556	423.109	361.604	314.418	423.406	391.329	517.811	613.216	67.218	543.605	416.754
exo_circ_000033	chr17:59353214-59353526:+	2273.767	2101.119	1179.224	792.949	1432.633	1693.227	1293.697	2294.457	724.282	1117.038	0	2258.538	1993.22	583.456
exo_circ_000034	chr20:2964271-2965202:+	3782.144	3352.52	4656.425	3133.583	3384.873	4844.352	4526.302	6709.975	3794.373	3439.045	2212.634	2790.908	3578.736	1032.475
exo_circ_000035	chr20:58438944-58441083:+	825.127	838.682	1244.737	630.538	846.218	975.758	1303.523	1286.347	940.486	1038.878	461.492	927.614	286.903	231.231
exo_circ_000036	chr21:34834409-34859578:-	1265.693	1103.529	1411.038	1222.862	2568.347	619.893	2407.259	2867.063	2051.772	869.531	1985.049	158.635	196.302	228.543
exo_circ_000037	chr1:117402185-117442325:+	1747.328	3884.421	922.214	3095.369	2761.344	2485.313	1526.235	1088.758	1408.566	2155.916	2307.461	1406.209	3941.14	1338.99
exo_circ_000038	chr1:1223243-1223968:-	1004.34	856.338	297.326	363.037	363.725	992.977	101.531	387.114	218.366	700.184	1378.155	1097.004	0	384.489
exo_circ_000039	chr1:26729650-26732792:+	369.627	635.632	902.056	105.09	96.499	740.428	704.164	169.362	285.389	2204.766	499.423	1347.057	2098.921	626.475
exo_circ_000040	chr1:41070594-41075451:-	533.906	1262.437	463.627	229.287	571.569	964.279	569.882	266.141	397.815	1250.562	499.423	1312.103	1978.12	623.787
exo_circ_000041	chr1:66958058-66963160:+	1904.14	2180.573	3235.308	2636.796	2939.495	3392.195	2315.554	2137.192	2298.244	3992.679	2149.416	2169.81	2476.425	1013.653
exo_circ_000042	chr2:147896300-147899898:+	1836.935	1147.67	2469.316	1767.417	2768.767	780.607	3871.266	1669.429	2990.096	1231.022	246.551	365.668	437.904	34.954
exo_circ_000043	chr2:61522610-61533903:-	948.336	1756.818	2131.675	1958.49	3488.795	2077.791	1644.142	2153.321	2097.175	879.301	2364.358	1000.21	2914.329	661.429
exo_circ_000044	chr3:152414940-152432920:+	634.713	167.736	70.552	219.733	586.414	562.496	225.988	512.119	270.254	654.591	1125.283	570.012	513.405	223.165
exo_circ_000045	chr3:158122102-158123991:+	892.332	1487.557	1788.994	1213.308	2226.89	2456.615	2721.677	2697.7	2181.494	1566.459	1934.474	989.455	558.706	486.661
exo_circ_000046	chr4:87195323-87195690:-	970.738	670.945	408.193	792.949	668.067	987.238	1791.525	802.455	1424.782	0	505.745	615.721	1283.513	457.085
exo_circ_000047	chr8:37877108-37877551:-	795.258	829.854	277.168	133.751	44.538	1853.94	163.759	145.168	263.768	749.034	423.561	1282.527	1494.915	481.284
exo_circ_000048	chr10:5794884-5800705:-	955.803	339.887	1496.708	410.805	794.258	608.414	527.304	608.898	689.689	1999.596	448.849	1263.706	1253.313	239.297
exo_circ_000049	chr12:46229152-46243314:-	1146.217	781.298	372.917	296.162	170.728	912.621	232.538	36.292	283.227	959.09	2617.23	1970.843	1177.812	287.695
exo_circ_000050	chr12:69800208-69801721:+	309.889	251.605	448.508	821.61	705.182	705.99	117.907	302.433	663.745	937.921	518.389	0	588.906	2.689
exo_circ_000051	chr14:96833466-96860735:+	1355.299	1015.246	488.824	859.825	1083.753	1727.666	153.934	141.135	975.078	1608.796	1194.822	1508.381	3261.633	309.205
exo_circ_000052	chr15:64499292-64500166:+	1620.385	648.875	665.204	525.448	512.185	1257.006	288.216	96.778	473.486	3123.148	1460.339	599.588	2385.824	930.303
exo_circ_000053	chr17:20204332-20205912:+	1855.603	1827.443	1143.949	802.503	141.036	1802.283	812.245	564.541	592.398	527.581	2585.621	540.436	1494.915	500.105
exo_circ_000054	chr18:9182381-9221999:+	2288.701	4665.719	5618.954	4318.231	5107.002	4195.76	6900.809	5282.492	5119.701	2175.456	3970.098	2032.684	4363.944	1059.362
exo_circ_000055	chr19:12928341-12928847:-	261.352	684.188	433.39	831.164	616.106	361.604	432.324	709.709	525.375	299.614	0	475.906	241.602	129.059
exo_circ_000056	chr19:47264602-47264946:+	959.537	1174.154	408.193	277.055	363.725	700.25	144.108	262.108	263.768	1957.259	3160.906	895.349	1223.112	693.694
exo_circ_000057	chr22:21805849-21807846:-	746.721	1266.851	645.046	1203.755	660.644	229.59	733.641	1673.461	1024.805	280.074	474.136	1024.408	256.703	10.755
exo_circ_000058	chr1:77711746-77715868:-	1676.39	1068.216	2580.183	1461.702	2791.036	2881.356	2266.426	1957.748	2278.786	2325.263	0	2427.928	1298.613	365.668
exo_circ_000059	chr2:63856305-63857936:+	1082.746	737.157	977.648	1834.293	794.258	1096.293	858.098	1621.04	899.407	1019.338	474.136	400.622	286.903	572.701
exo_circ_000060	chr2:72718102-72733118:-	2247.631	2396.864	1562.22	2369.295	3251.26	2359.039	943.253	1919.44	1969.615	1550.176	0	1293.282	2114.021	752.846
exo_circ_000061	chr3:125313307-125331238:-	1601.717	1478.728	685.361	831.164	1002.101	918.361	972.729	701.644	728.606	1016.081	0	1779.943	1087.211	403.31
exo_circ_000062	chr3:172247532-172251541:+	940.869	1302.164	352.759	372.591	267.227	447.701	376.646	487.925	252.958	902.098	1485.626	634.542	3231.432	193.589
exo_circ_000063	chr6:130955104-130956499:-	1075.279	617.976	1360.644	191.072	437.955	1561.213	501.103	560.509	274.579	2422.963	0	888.627	936.209	311.893
exo_circ_000064	chr7:100812746-100813208:-	552.574	754.814	372.917	76.429	311.765	1119.252	104.806	245.979	153.505	1612.052	1542.522	750.157	407.704	0
exo_circ_000065	chr7:102227366-102227669:+	384.562	158.908	236.853	191.072	252.381	723.209	163.759	342.757	361.06	661.104	600.572	341.469	151.002	67.218
exo_circ_000066	chr7:155672866-155680908:+	5712.419	4277.277	4051.694	3267.334	5107.002	4419.61	3678.03	4379.226	2858.212	3422.762	3812.053	2363.399	4711.247	1392.765
exo_circ_000067	chr7:77585542-77600806:+	2452.98	1602.324	2958.14	4690.821	3147.338	803.566	2623.421	5584.925	3601.952	1690.212	1612.062	298.45	483.205	161.324
exo_circ_000068	chr10:104008176-104018908:+	1415.037	1341.891	1431.196	1442.595	2338.235	1239.787	966.179	2201.711	1059.398	1146.348	2648.839	198.966	558.706	333.403
exo_circ_000069	chr11:108227594-108229323:+	634.713	971.105	393.075	133.751	682.913	0	39.302	1008.109	222.69	446.164	2408.61	373.734	1253.313	285.006
exo_circ_000070	chr16:68121986-68123121:+	220.283	604.734	95.749	200.626	111.345	602.674	245.639	20.162	285.389	162.834	689.077	252.741	634.206	204.344
exo_circ_000071	chr16:69370482-69372355:-	634.713	922.55	564.415	334.376	512.185	505.098	219.437	104.843	317.819	1335.235	878.732	1527.202	649.307	94.106
exo_circ_000072	chr17:67945408-67948306:+	220.283	1390.446	549.297	372.591	133.613	573.975	962.904	479.86	274.579	153.064	297.125	451.708	634.206	193.589
exo_circ_000073	chr22:32478980-32479275:+	769.123	1518.455	377.957	334.376	215.266	1147.951	314.418	314.53	296.199	950.948	0	959.879	2144.222	551.191
exo_circ_000074	chr1:33294936-33295305:+	455.5	1143.256	619.849	95.536	1076.33	1549.734	1644.142	1697.656	875.625	309.384	581.607	147.88	921.109	258.119
exo_circ_000075	chr3:107710451-107716849:+	1874.271	370.786	403.154	401.252	890.756	918.361	795.869	165.33	601.046	853.248	758.617	1021.72	755.008	48.397
exo_circ_000076	chr4:128936654-128970468:-	130.676	591.491	1773.876	898.039	1699.86	866.703	1182.341	1000.044	1154.527	2009.366	1504.591	1505.692	755.008	0
exo_circ_000077	chr4:53414614-53428183:+	1004.34	423.755	745.834	554.109	905.602	562.496	907.226	1479.904	903.731	182.374	644.825	0	453.005	115.616
exo_circ_000078	chr6:13632369-13644729:-	567.508	847.51	876.859	1079.558	994.678	929.84	1608.115	1492.002	1480.995	0	164.367	365.668	558.706	107.549
exo_circ_000079	chr7:139715931-139717015:-	164.279	962.277	841.583	1413.934	1595.938	476.4	1378.852	633.093	691.852	1338.492	1182.179	411.377	437.904	193.589
exo_circ_000080	chr8:130152735-130180880:-	4260.046	2255.613	4767.292	4069.837	4587.394	2841.178	5282.869	3709.842	3757.618	4777.537	0	2769.398	4877.349	949.124
exo_circ_000081	chr11:108176245-108177090:-	1594.25	1337.477	458.587	468.127	564.146	177.932	229.263	387.114	501.592	1735.806	714.365	930.303	347.303	677.561
exo_circ_000082	chr11:68551120-68564432:+	324.824	110.353	408.193	238.84	720.028	1102.033	1031.682	637.125	341.602	0	0	465.151	694.607	72.596
