exo_circ_ID	CircRNA	CHD1	CHD2	CHD3	CHD4	CHD5	CHD6
exo_circ_000001	chr1:117402185-117414831:+	493.91	5117.343	3124.985	4328.01	3849.48	3845.184
exo_circ_000002	chr1:155853275-155853806:-	410.196	865.774	211.537	249.848	689.907	6177.509
exo_circ_000003	chr1:24514313-24514567:+	2009.125	1120.868	1182.687	193.431	4599.379	63.036
exo_circ_000004	chr3:170136418-170149244:-	234.398	448.347	1519.223	2474.3	1069.856	777.442
exo_circ_000005	chr3:170145422-170149244:-	1958.897	1654.247	1307.686	1732.816	2799.622	2941.671
exo_circ_000006	chr4:143543508-143543972:+	17738.897	12430.042	15548.002	10969.128	10438.591	11682.636
exo_circ_000007	chr5:73074741-73077493:+	1824.955	7.73	2201.912	1015.511	1809.756	1491.847
exo_circ_000008	chr6:4891712-4892379:+	1732.87	3238.923	3115.37	3078.771	3489.529	966.549
exo_circ_000009	chr7:100023418-100024307:+	2436.064	2303.578	1826.914	2216.392	1979.733	2395.361
exo_circ_000010	chr7:158759485-158764853:-	6194.801	3996.475	1644.223	4239.354	2509.661	13993.949
exo_circ_000011	chr8:47396375-47407961:+	1322.674	2442.72	1596.146	1837.591	1769.761	4811.733
exo_circ_000012	chr12:108652271-108654410:-	2896.488	1174.979	5374.974	3771.897	3539.522	3319.886
exo_circ_000013	chr13:32517856-32527532:-	8890.377	1391.423	5499.974	2651.611	4679.368	7942.511
exo_circ_000014	chr14:22909482-22911403:-	11058.558	9245.231	6423.046	10425.104	6179.166	5379.055
exo_circ_000015	chr14:39179090-39179462:+	962.706	3756.841	4048.057	2176.094	1329.82	8909.06
exo_circ_000016	chr16:85633913-85634132:+	24703.863	23128.537	17009.534	25827.017	18567.493	41036.309
exo_circ_000017	chr21:15014343-15043574:-	2963.459	2094.864	10413.411	15901.608	5069.316	6303.58
exo_circ_000018	chr1:117402185-117405645:+	1222.218	15.46	2346.143	2579.075	1669.775	0
exo_circ_000019	chr1:117402185-117420649:+	14608.011	9291.611	10432.642	5738.442	6204.162	0
exo_circ_000020	chr2:40428472-40430304:-	920.849	0	2009.606	870.438	1469.802	1975.122
exo_circ_000021	chr3:71041327-71053773:-	1573.814	3888.253	740.381	2804.744	1559.789	0
exo_circ_000022	chr4:128992166-129003876:-	6496.17	3285.303	2894.217	1756.995	3109.58	7753.404
exo_circ_000023	chr4:87046165-87047594:+	971.077	3130.701	701.92	838.199	2079.719	0
exo_circ_000024	chr5:137985256-137988315:-	8061.613	0	7903.808	4884.123	8168.897	11871.743
exo_circ_000025	chr5:154033790-154034967:-	1063.162	680.251	1615.377	1853.71	2089.718	0
exo_circ_000026	chr5:95755395-95763620:+	3423.883	9013.327	2269.22	4448.904	3299.555	0
exo_circ_000027	chr11:33286412-33287511:+	0	3115.241	4403.825	2683.85	3359.546	4874.769
exo_circ_000028	chr14:99458278-99465813:-	4043.364	4583.965	2394.219	3086.83	2219.7	0
exo_circ_000029	chr15:41668827-41669958:+	1531.958	0	1115.379	2063.26	519.93	1407.8
exo_circ_000030	chr15:89113724-89116521:+	1130.133	7.73	105.769	693.126	379.949	2983.695
exo_circ_000031	chr16:30483826-30484263:+	3432.255	0	634.612	5625.607	1399.811	3656.077
exo_circ_000032	chr17:29684562-29703062:-	8.371	0	1480.762	1579.683	1409.81	8383.762
exo_circ_000033	chr17:59353214-59353526:+	887.363	4460.283	1413.455	967.153	2989.596	3193.814
exo_circ_000034	chr20:2964271-2965202:+	4980.955	842.584	3778.828	0	5449.264	840.477
exo_circ_000035	chr20:58438944-58441083:+	1105.019	340.126	442.306	999.391	609.918	0
exo_circ_000036	chr21:34834409-34859578:-	795.279	1453.264	1548.069	959.093	1369.815	0
exo_circ_000037	chr1:117402185-117442325:+	2009.125	796.203	1028.841	0	1569.788	0
exo_circ_000038	chr1:1223243-1223968:-	326.483	1739.278	298.075	2014.902	479.935	1050.597
exo_circ_000039	chr1:26729650-26732792:+	1498.472	0	1634.608	0	2359.681	1807.026
exo_circ_000040	chr1:41070594-41075451:-	1799.841	1654.247	1557.685	0	1499.798	4202.387
exo_circ_000041	chr1:66958058-66963160:+	1908.669	4011.935	1451.916	4843.825	3679.503	0
exo_circ_000042	chr2:147896300-147899898:+	2143.066	0	192.307	499.696	1089.853	1680.955
exo_circ_000043	chr2:61522610-61533903:-	1481.73	0	711.535	2506.538	1099.852	0
exo_circ_000044	chr3:152414940-152432920:+	8.371	2234.006	221.153	1104.166	389.947	441.251
exo_circ_000045	chr3:158122102-158123991:+	167.427	0	1471.147	451.338	1679.773	0
exo_circ_000046	chr4:87195323-87195690:-	1205.475	0	692.304	1466.849	959.87	2962.683
exo_circ_000047	chr8:37877108-37877551:-	2009.125	0	2163.451	838.199	149.98	0
exo_circ_000048	chr10:5794884-5800705:-	3340.17	0	1245.186	386.861	739.9	3214.826
exo_circ_000049	chr12:46229152-46243314:-	4261.019	1399.153	240.383	1756.995	339.954	0
exo_circ_000050	chr12:69800208-69801721:+	0	525.649	913.457	1458.789	1909.742	1176.668
exo_circ_000051	chr14:96833466-96860735:+	1356.159	0	778.842	1410.432	89.988	0
exo_circ_000052	chr15:64499292-64500166:+	3222.971	0	2259.605	2683.85	2139.711	0
exo_circ_000053	chr17:20204332-20205912:+	0	0	1019.226	274.027	209.972	1323.752
exo_circ_000054	chr18:9182381-9221999:+	2101.21	0	2153.836	3360.857	1459.803	0
exo_circ_000055	chr19:12928341-12928847:-	2963.459	2914.257	163.461	2828.923	209.972	1870.062
exo_circ_000056	chr19:47264602-47264946:+	6060.86	0	749.996	2055.2	2639.644	0
exo_circ_000057	chr22:21805849-21807846:-	0	0	740.381	411.04	2339.684	4538.578
exo_circ_000058	chr1:77711746-77715868:-	0	2860.147	2201.912	1313.716	2449.669	0
exo_circ_000059	chr2:63856305-63857936:+	611.109	0	298.075	0	669.91	0
exo_circ_000060	chr2:72718102-72733118:-	1875.183	12345.011	3254.792	3675.182	3244.562	0
exo_circ_000061	chr3:125313307-125331238:-	1850.069	0	586.536	1104.166	979.868	0
exo_circ_000062	chr3:172247532-172251541:+	460.424	943.075	1576.915	120.894	2519.66	0
exo_circ_000063	chr6:130955104-130956499:-	0	0	134.615	24.179	1579.787	3677.089
exo_circ_000064	chr7:100812746-100813208:-	1347.788	3007.019	846.15	2812.803	969.869	0
exo_circ_000065	chr7:102227366-102227669:+	770.164	0	1586.531	3755.778	439.941	1113.633
exo_circ_000066	chr7:155672866-155680908:+	0	9191.12	5278.821	3046.532	4179.436	6954.95
exo_circ_000067	chr7:77585542-77600806:+	452.053	0	2278.835	749.544	2149.71	0
exo_circ_000068	chr10:104008176-104018908:+	0	0	788.458	2248.631	819.889	0
exo_circ_000069	chr11:108227594-108229323:+	527.395	3532.668	1326.917	96.715	0	0
exo_circ_000070	chr16:68121986-68123121:+	485.538	2558.672	163.461	1031.63	249.966	0
exo_circ_000071	chr16:69370482-69372355:-	443.682	0	1028.841	0	619.916	3508.993
exo_circ_000072	chr17:67945408-67948306:+	1146.875	2040.753	432.69	572.232	929.874	0
exo_circ_000073	chr22:32478980-32479275:+	3968.021	3439.906	692.304	0	1009.864	0
exo_circ_000074	chr1:33294936-33295305:+	0	0	1749.992	88.656	1979.733	0
exo_circ_000075	chr3:107710451-107716849:+	0	0	1519.223	0	389.947	0
exo_circ_000076	chr4:128936654-128970468:-	0	0	0	2071.319	999.865	3403.933
exo_circ_000077	chr4:53414614-53428183:+	1255.703	0	778.842	2675.79	1129.847	0
exo_circ_000078	chr6:13632369-13644729:-	2402.578	2373.149	576.92	0	329.955	0
exo_circ_000079	chr7:139715931-139717015:-	1238.96	0	307.691	0	339.954	0
exo_circ_000080	chr8:130152735-130180880:-	971.077	0	2105.759	3328.618	1779.76	0
exo_circ_000081	chr11:108176245-108177090:-	1456.615	0	1942.298	0	209.972	0
exo_circ_000082	chr11:68551120-68564432:+	468.796	1275.471	1701.915	0	599.919	0
exo_circ_000083	chr16:24032135-24035547:+	0	0	1057.687	878.497	579.922	0
exo_circ_000084	chr18:21765771-21779685:+	0	0	1846.145	0	1719.768	3656.077
exo_circ_000085	chr18:47865058-47896809:-	0	494.728	701.92	306.265	0	1260.716
exo_circ_000086	chr18:9195550-9221999:+	0	3045.67	1509.608	0	609.918	0
exo_circ_000087	chr19:18147442-18147624:+	334.854	1290.931	326.922	1305.657	139.981	0
exo_circ_000088	chr21:15762890-15766141:+	0	0	0	0	1019.862	147.084
exo_circ_000089	chrX:53403565-53403893:-	0	0	2192.297	0	1099.852	0
exo_circ_000090	chr1:155438326-155459898:-	292.997	1151.789	1471.147	781.782	0	0
exo_circ_000091	chr1:205616477-205623891:-	987.82	1692.898	999.995	0	409.945	0
exo_circ_000092	chr1:7777159-7778169:+	0	0	1596.146	0	1449.804	0
exo_circ_000093	chr1:9931890-9934860:-	0	0	2769.217	0	3959.465	0
exo_circ_000094	chr2:112299848-112300029:+	0	0	4052.865	265.967	0	2332.325
exo_circ_000095	chr2:226864603-226867318:+	16.743	0	874.996	0	629.915	1323.752
exo_circ_000096	chr3:196487398-196488683:-	4386.589	0	2567.295	0	1399.811	7207.094
exo_circ_000096	chr3:196487398-196488683:-	678.08	0	0	0	0	0
exo_circ_000097	chr5:123545416-123557564:+	2050.982	0	3278.83	0	1899.744	0
exo_circ_000098	chr7:152309965-152315338:-	753.422	0	798.073	491.636	1849.75	168.095
exo_circ_000099	chr8:22474953-22475624:+	770.164	0	413.46	0	2219.7	0
exo_circ_000100	chr10:110596397-110598290:+	719.936	0	1423.07	0	1279.827	0
exo_circ_000101	chr11:72984087-72989097:-	0	0	0	1208.941	499.933	4538.578
exo_circ_000102	chr16:68121986-68126610:+	468.796	0	1221.148	0	1049.858	1849.05
exo_circ_000103	chr17:67945408-67975958:+	1398.016	0	394.229	1136.405	619.916	0
exo_circ_000104	chr19:8455404-8463686:+	2092.838	0	1913.452	0	1209.837	0
exo_circ_000105	chr22:41172498-41173784:+	736.679	2009.833	278.845	0	129.982	0
exo_circ_000106	chr3:170122590-170129552:-	2486.292	0	826.919	0	609.918	0
exo_circ_000107	chr3:56592969-56594028:+	803.65	0	1576.915	0	2189.704	3382.921
exo_circ_000108	chr4:177353307-177353728:+	3156	0	211.537	483.577	269.964	0
exo_circ_000109	chr5:32135571-32143880:-	0	773.013	1192.302	0	0	0
exo_circ_000110	chr6:130926604-130956499:-	1456.615	0	874.996	846.259	669.91	2080.182
exo_circ_000111	chr7:155665174-155680908:+	0	4344.331	451.921	596.411	469.937	0
exo_circ_000112	chr9:75016267-75017448:-	0	0	499.998	765.663	2569.653	0
exo_circ_000113	chr10:34269656-34284245:-	544.138	3919.174	1009.611	0	759.897	0
exo_circ_000114	chr10:68787926-68788328:+	828.764	0	490.382	902.676	0	0
exo_circ_000115	chr13:99238426-99244624:+	0	0	509.613	1410.432	829.888	0
exo_circ_000116	chr15:93000511-93009323:+	0	0	1105.764	0	199.973	2437.384
exo_circ_000117	chr16:80684537-80685129:-	0	0	826.919	564.173	0	0
exo_circ_000118	chr17:59731420-59738947:+	1322.674	0	326.922	0	1239.833	0
exo_circ_000119	chr21:14991200-15043574:-	1063.162	4815.868	567.305	1079.988	1539.792	336.191
exo_circ_000120	chr21:46349011-46349820:+	527.395	0	298.075	0	259.965	0
exo_circ_000121	chrX:44524001-44527365:-	50.228	0	807.688	3925.03	939.873	0
exo_circ_000122	chrX:77652113-77656653:-	0	0	1740.376	3256.082	659.911	0
exo_circ_000123	chr1:29154695-29154910:-	1029.676	0	423.075	822.08	99.987	0
exo_circ_000124	chr3:3137259-3144710:+	0	0	0	1813.412	1569.788	0
exo_circ_000125	chr3:50065030-50066502:+	895.735	541.109	0	0	1039.86	1954.11
exo_circ_000126	chr4:177353307-177360677:+	1565.443	0	461.536	1442.67	0	0
exo_circ_000127	chr6:116689319-116705160:+	0	1445.534	0	0	189.974	4265.423
exo_circ_000128	chr6:144537581-144539443:+	83.714	0	980.765	0	609.918	0
exo_circ_000129	chr6:16326393-16328470:-	0	0	1480.762	0	929.874	0
exo_circ_000131	chr6:7176654-7189322:+	0	2357.688	1163.456	2571.015	949.872	0
exo_circ_000132	chr8:51845660-51861246:-	0	0	2038.452	0	389.947	0
exo_circ_000133	chr8:70213902-70216764:-	0	0	201.922	354.623	529.928	0
exo_circ_000134	chr9:33948373-33953474:-	560.881	0	0	564.173	0	0
exo_circ_000135	chr11:86022366-86031611:-	1406.387	0	942.303	72.536	209.972	0
exo_circ_000136	chr14:21503172-21503881:-	0	0	480.767	685.067	779.895	0
exo_circ_000137	chr14:52536718-52544371:-	0	1847.5	490.382	3812.195	0	0
exo_circ_000138	chr15:63696123-63716473:-	0	0	67.307	523.875	79.989	2773.575
exo_circ_000139	chr15:94440175-94458246:+	1389.645	3107.511	798.073	0	579.922	0
exo_circ_000140	chr16:22349278-22349849:-	0	0	374.998	668.948	0	0
exo_circ_000141	chr1:35358924-35361789:+	242.769	2550.942	0	2337.287	429.942	0
exo_circ_000142	chr2:58221941-58232112:-	1582.186	0	951.919	0	919.876	0
exo_circ_000143	chr2:8908620-8958642:-	0	0	855.765	0	1529.793	2227.265
exo_circ_000144	chr3:129880308-129880559:-	895.735	0	692.304	999.391	789.893	1386.788
exo_circ_000145	chr4:150798080-150817257:-	0	0	115.384	2135.796	1009.864	0
exo_circ_000146	chr4:38089931-38103157:+	711.565	0	240.383	354.623	0	0
exo_circ_000147	chr4:73090666-73092300:-	0	0	76.923	0	929.874	1596.907
exo_circ_000148	chr5:103096540-103097781:-	0	0	653.843	1354.014	2279.692	0
exo_circ_000149	chr5:139363758-139364743:+	234.398	1600.136	1798.068	402.98	279.962	2857.623
exo_circ_000150	chr5:66053405-66054951:+	0	0	874.996	0	149.98	1449.823
exo_circ_000151	chr6:13639562-13644729:-	0	0	173.076	999.391	719.903	0
exo_circ_000152	chr7:103321931-103322794:-	569.252	0	2423.065	0	1449.804	0
exo_circ_000153	chr8:70159504-70162854:-	0	432.887	1163.456	781.782	19.997	0
exo_circ_000154	chr11:128768117-128782023:+	0	0	2028.836	1200.882	809.891	0
exo_circ_000155	chr12:120782654-120784593:-	1682.642	3323.954	192.307	677.007	419.943	0
exo_circ_000156	chr13:95757643-95763953:+	2076.096	0	1365.378	0	509.931	0
exo_circ_000157	chr14:50150007-50150230:-	1305.931	0	509.613	0	639.914	0
exo_circ_000158	chr15:62007307-62013992:-	0	0	1596.146	0	3039.59	2983.695
exo_circ_000159	chr21:37420298-37472880:+	887.363	0	278.845	0	0	0
exo_circ_000160	chr1:30992389-30995220:-	0	7.73	0	0	329.955	0
exo_circ_000161	chr3:71015548-71053773:-	0	0	1384.609	685.067	1309.823	0
exo_circ_000162	chr3:71690009-71699708:-	0	0	0	0	1299.825	0
exo_circ_000163	chr4:53425871-53428183:+	0	0	1692.3	2401.763	569.923	0
exo_circ_000164	chr4:73085248-73092300:-	75.342	0	0	451.338	529.928	1050.597
exo_circ_000165	chr5:172055587-172057473:-	719.936	0	788.458	0	1649.777	0
exo_circ_000166	chr7:130120748-130122202:+	0	0	211.537	975.213	69.991	0
exo_circ_000167	chr8:141253988-141254629:-	0	2133.515	2499.988	0	399.946	0
exo_circ_000168	chr9:37126311-37126942:+	1657.528	2373.149	2624.987	0	2449.669	0
exo_circ_000169	chr18:62539680-62550460:+	0	0	0	773.722	939.873	0
exo_circ_000170	chr18:76849525-76851939:+	1841.698	0	0	386.861	359.951	1323.752
exo_circ_000171	chr20:41092471-41101353:+	0	0	442.306	0	889.88	0
exo_circ_000172	chr20:48953555-48963898:+	1557.072	0	423.075	0	299.96	1176.668
exo_circ_000173	chr1:32948221-32949774:-	2193.295	525.649	423.075	0	359.951	0
exo_circ_000174	chr2:135675331-135680324:+	1615.671	0	490.382	1853.71	779.895	42.024
exo_circ_000175	chr3:160413472-160414517:+	0	0	1009.611	0	1149.845	0
exo_circ_000176	chr3:170171372-170178938:-	0	0	1307.686	0	579.922	0
exo_circ_000177	chr4:36228581-36229645:-	0	0	807.688	773.722	689.907	0
exo_circ_000178	chr4:37631384-37638504:-	343.225	0	653.843	0	279.962	0
exo_circ_000179	chr4:48369848-48383784:+	0	0	807.688	0	649.912	0
exo_circ_000180	chr5:43675510-43677806:+	0	0	1317.301	0	319.957	42.024
exo_circ_000181	chr6:154773988-154795139:+	912.478	1113.138	999.995	88.656	709.904	0
exo_circ_000182	chr8:18011236-18011827:+	719.936	0	0	725.365	139.981	0
exo_circ_000183	chr8:668597-674047:-	301.369	1097.678	298.075	507.755	0	2605.48
exo_circ_000184	chr10:68959805-68960249:+	1531.958	2481.37	374.998	0	779.895	0
exo_circ_000185	chr11:107390073-107392895:-	0	0	403.844	2603.254	89.988	3004.707
exo_circ_000186	chr11:108267170-108267342:+	0	0	519.228	0	0	1975.122
exo_circ_000187	chr11:130260855-130261929:-	0	0	1759.607	0	1019.862	0
exo_circ_000188	chr13:21167987-21168399:-	0	0	624.997	918.795	509.931	0
exo_circ_000189	chr13:40940920-40943925:-	0	0	721.15	1079.988	599.919	0
exo_circ_000190	chr14:65561336-65561766:+	1012.934	0	471.152	0	529.928	0
exo_circ_000191	chr17:29451454-29451680:+	0	0	288.46	314.325	0	0
exo_circ_000192	chr1:113829591-113834439:-	753.422	0	711.535	1023.57	1289.826	2059.17
exo_circ_000193	chr1:154234590-154235291:+	0	0	192.307	0	629.915	0
exo_circ_000194	chr1:28473553-28474151:+	1054.791	0	615.382	0	779.895	0
exo_circ_000195	chr2:171925536-171953001:+	0	0	423.075	1273.418	0	0
exo_circ_000196	chr2:200856681-200856985:-	594.366	0	0	1354.014	379.949	0
exo_circ_000197	chr3:169976945-169988359:+	0	2179.895	1836.53	0	409.945	0
exo_circ_000198	chr4:10097710-10103986:-	711.565	0	0	0	0	0
exo_circ_000199	chr4:39737419-39774933:+	0	0	874.996	0	559.924	0
exo_circ_000200	chr4:55411613-55417985:+	0	0	0	564.173	1069.856	0
exo_circ_000201	chr11:76463820-76472840:+	0	695.711	249.999	169.252	609.918	0
exo_circ_000202	chr15:65178933-65180204:-	2218.409	2659.163	0	0	299.96	0
exo_circ_000203	chr16:23988507-24035547:+	3566.196	0	2067.298	0	3979.463	0
exo_circ_000204	chr20:41533049-41551360:-	1481.73	0	365.383	0	0	0
