exo_circ_ID	CircRNA	CRC1	CRC2	CRC3	CRC4	CRC5	CRC6	CRC7	CRC8	CRC9	CRC10	CRC11	CRC12
exo_circ_000001	chr1:117402185-117414831:+	6371.442	5343.504	6037.473	5528.266	4379.08	2806.204	5307.476	5496.554	5290.745	5666.474	4264.168	8995.575
exo_circ_000002	chr1:155853275-155853806:-	2067.554	1761.807	1407.776	2095.107	1776.419	897.985	1883.298	1381.044	1360.733	771.605	1596.869	1507.367
exo_circ_000003	chr1:24514313-24514567:+	5126.69	3368.731	3613.776	5299.389	3470.214	3779.021	4498.124	6325.181	5004.275	2290.702	3474.507	3776.521
exo_circ_000004	chr3:170136418-170149244:-	1181.46	677.618	1422.289	176.059	247.872	860.569	1369.671	718.143	671.414	434.028	1245.909	761.787
exo_circ_000005	chr3:170145422-170149244:-	1054.875	968.026	1639.987	1232.416	2354.788	2282.379	762.658	883.868	1611.394	2049.576	754.565	1345.284
exo_circ_000006	chr4:143543508-143543972:+	11856.79	11267.824	10101.157	13715.03	13219.863	8717.939	12373.733	12236.048	11709.466	8825.231	9195.16	12026.517
exo_circ_000007	chr5:73074741-73077493:+	1877.677	1297.155	1581.934	2711.315	1776.419	2469.459	2334.667	1077.214	1020.55	2411.265	3386.767	2674.36
exo_circ_000008	chr6:4891712-4892379:+	1244.752	1665.005	1335.21	1426.081	2767.909	2469.459	1774.347	1463.906	814.649	3616.898	1702.158	2641.944
exo_circ_000009	chr7:100023418-100024307:+	358.657	1161.631	667.605	1514.111	660.993	1421.81	280.16	469.555	116.378	1446.759	543.988	1474.95
exo_circ_000010	chr7:158759485-158764853:-	1012.68	2381.344	1073.974	2711.315	1528.547	1646.306	1027.253	1988.703	1835.199	2025.463	2474.27	2269.154
exo_circ_000011	chr8:47396375-47407961:+	675.12	2168.378	856.276	1637.353	1611.171	74.832	949.431	580.038	1163.785	964.506	1649.513	1782.907
exo_circ_000012	chr12:108652271-108654410:-	11455.938	7492.522	7169.499	6602.229	7518.797	2432.043	9338.667	9391.098	10760.533	2025.463	5896.133	7358.543
exo_circ_000013	chr13:32517856-32527532:-	6519.125	5750.075	5311.815	5140.936	3759.398	6061.4	5229.653	5551.796	4547.713	3737.461	4650.224	7180.252
